DIN/PIN,"Plan","Rec Eff Date","Rec End Date","Ben Grp List","LCA Ind","Pay Gen Ind","Brand Nm","Manuf","Generic Nm","Dosage Form","Trial Flg","Max Price","LCA Price","RDP Cat","RDP Sub Cat","RDP Price","RDP Excl Plans","Can Fed Reg Cd","Pcare Plan Desc","Max Days Supply","Qty Limit","Formulary List Date","Ltd Use Flag","Max Daily Qty","Max Period Qty","Max Period Qty Days","Max Annual Qty","BGTS Cat Cd","BGTS Cat Desc","BGTS Max Annual Qty"	
00000175,"B",20240101,20240312,"A ,B ,C ,F ,U ,W ","","N","Erythrocin Iv","003525","ERYTHROMYCIN LACTOBIONATE 500 MG IF","VIAL PORT","N", 0015.0336, 0000.0000,"","",,"","P","Licensed Residential Care Facilities", 100, 99999999,20010201,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000175,"B",20240313,20241231,"A ,B ,C ,F ,U ,W ","","N","Erythrocin Iv","003525","ERYTHROMYCIN LACTOBIONATE 500 MG IF","VIAL PORT","N", 0015.0336, 0000.0000,"","",,"","P","Licensed Residential Care Facilities", 100, 99999999,20010201,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000175,"C",20220223,20221231,"A ,B ,C ,F ,U ,W ","","N","Erythrocin Iv","003525","ERYTHROMYCIN LACTOBIONATE 500 MG IF","VIAL PORT","N", 0015.0336, 0000.0000,"","",,"","P","Income Assistance", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000175,"C",20230101,20231231,"A ,B ,C ,F ,U ,W ","","N","Erythrocin Iv","003525","ERYTHROMYCIN LACTOBIONATE 500 MG IF","VIAL PORT","N", 0015.0336, 0000.0000,"","",,"","P","Income Assistance", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000175,"C",20240101,20240312,"A ,B ,C ,F ,U ,W ","","N","Erythrocin Iv","003525","ERYTHROMYCIN LACTOBIONATE 500 MG IF","VIAL PORT","N", 0015.0336, 0000.0000,"","",,"","P","Income Assistance", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000175,"C",20240313,20241231,"A ,B ,C ,F ,U ,W ","","N","Erythrocin Iv","003525","ERYTHROMYCIN LACTOBIONATE 500 MG IF","VIAL PORT","N", 0015.0336, 0000.0000,"","",,"","P","Income Assistance", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000175,"F",20220223,20221231,"A ,B ,C ,F ,U ,W ","","N","Erythrocin Iv","003525","ERYTHROMYCIN LACTOBIONATE 500 MG IF","VIAL PORT","N", 0015.0336, 0000.0000,"","",,"","P","At Home Program", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000175,"F",20230101,20231231,"A ,B ,C ,F ,U ,W ","","N","Erythrocin Iv","003525","ERYTHROMYCIN LACTOBIONATE 500 MG IF","VIAL PORT","N", 0015.0336, 0000.0000,"","",,"","P","At Home Program", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000175,"F",20240101,20240312,"A ,B ,C ,F ,U ,W ","","N","Erythrocin Iv","003525","ERYTHROMYCIN LACTOBIONATE 500 MG IF","VIAL PORT","N", 0015.0336, 0000.0000,"","",,"","P","At Home Program", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000175,"F",20240313,20241231,"A ,B ,C ,F ,U ,W ","","N","Erythrocin Iv","003525","ERYTHROMYCIN LACTOBIONATE 500 MG IF","VIAL PORT","N", 0015.0336, 0000.0000,"","",,"","P","At Home Program", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000175,"I",20220223,20221231,"A ,B ,C ,F ,U ,W ","","N","Erythrocin Iv","003525","ERYTHROMYCIN LACTOBIONATE 500 MG IF","VIAL PORT","N", 0015.0336, 0000.0000,"","",,"","P","Fair PharmaCare", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000175,"I",20230101,20231231,"A ,B ,C ,F ,U ,W ","","N","Erythrocin Iv","003525","ERYTHROMYCIN LACTOBIONATE 500 MG IF","VIAL PORT","N", 0015.0336, 0000.0000,"","",,"","P","Fair PharmaCare", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000175,"I",20240101,20240312,"A ,B ,C ,F ,U ,W ","","N","Erythrocin Iv","003525","ERYTHROMYCIN LACTOBIONATE 500 MG IF","VIAL PORT","N", 0015.0336, 0000.0000,"","",,"","P","Fair PharmaCare", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000175,"I",20240313,20241231,"A ,B ,C ,F ,U ,W ","","N","Erythrocin Iv","003525","ERYTHROMYCIN LACTOBIONATE 500 MG IF","VIAL PORT","N", 0015.0336, 0000.0000,"","",,"","P","Fair PharmaCare", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000175,"W",20220223,20221231,"A ,B ,C ,F ,U ,W ","","N","Erythrocin Iv","003525","ERYTHROMYCIN LACTOBIONATE 500 MG IF","VIAL PORT","N", 0015.0336, 0000.0000,"","",,"","P","First Nations Health Benefits", 100, 99999999,20171001,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000175,"W",20230101,20231231,"A ,B ,C ,F ,U ,W ","","N","Erythrocin Iv","003525","ERYTHROMYCIN LACTOBIONATE 500 MG IF","VIAL PORT","N", 0015.0336, 0000.0000,"","",,"","P","First Nations Health Benefits", 100, 99999999,20171001,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000175,"W",20240101,20240312,"A ,B ,C ,F ,U ,W ","","N","Erythrocin Iv","003525","ERYTHROMYCIN LACTOBIONATE 500 MG IF","VIAL PORT","N", 0015.0336, 0000.0000,"","",,"","P","First Nations Health Benefits", 100, 99999999,20171001,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000175,"W",20240313,20241231,"A ,B ,C ,F ,U ,W ","","N","Erythrocin Iv","003525","ERYTHROMYCIN LACTOBIONATE 500 MG IF","VIAL PORT","N", 0015.0336, 0000.0000,"","",,"","P","First Nations Health Benefits", 100, 99999999,20171001,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000183,"NB",20190319,40001230,"","","N","Erythrocin Iv","003525","ERYTHROMYCIN LACTOBIONATE 1 G HS","VIAL","N", 0000.0000, 0000.0000,"","",,"","P","Non-Benefit", 000, 99999999,19940101,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000205,"NB",20000928,40001230,"","","N","Heparin Sod Inj (D/C)","003525","Unknown Generic Drug  ","","N", 0000.0000, 0000.0000,"","",,"","","Non-Benefit", 000, 00000000,19940101,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000213,"NB",20190319,40001230,"","","N","Nembutal Sodium Inj 50mg/Ml","003525","PENTOBARBITAL SODIUM 50 MG/ML HH","AMPUL","N", 0000.0000, 0000.0000,"","",,"","C","Non-Benefit", 000, 99999999,19940101,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000248,"NB",20000928,40001230,"","","N","Erythrocin Orl Drp 40mg/Ml (D/C)","003525","Unknown Generic Drug  ","","N", 0000.0000, 0000.0000,"","",,"","","Non-Benefit", 000, 00000000,19940101,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000299,"NB",20190416,40001230,"","","N","Ees-200","013965","ERYTHROMYCIN ETHYLSUCCINATE 200 MG/5ML PD","SUSP RECON","N", 0000.0000, 0000.0000,"","",,"","P","Non-Benefit", 000, 99999999,19940101,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000302,"NB",20150915,40001230,"","","N","Erythrocin Liquid 125","003525","ERYTHROMYCIN STEARATE 125 MG/5ML SC","ORAL SUSP","N", 0000.0000, 0000.0000,"","",,"","P","Non-Benefit", 000, 99999999,19940101,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000396,"B",20220223,20221231,"B ,C ,F ,U ,W ","P","Y","Colchicine Tab 0.6mg","003525","COLCHICINE 0.6 MG TA","TABLET","N", 0000.2876, 0000.2770,"","",,"","P","Licensed Residential Care Facilities", 100, 99999999,20010201,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000396,"B",20230101,20231231,"B ,C ,F ,U ,W ","P","Y","Colchicine Tab 0.6mg","003525","COLCHICINE 0.6 MG TA","TABLET","N", 0000.2876, 0000.2770,"","",,"","P","Licensed Residential Care Facilities", 100, 99999999,20010201,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000396,"B",20240101,20240312,"B ,C ,F ,U ,W ","P","Y","Colchicine Tab 0.6mg","003525","COLCHICINE 0.6 MG TA","TABLET","N", 0000.2876, 0000.2770,"","",,"","P","Licensed Residential Care Facilities", 100, 99999999,20010201,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000396,"B",20240313,20241231,"B ,C ,F ,U ,W ","P","Y","Colchicine Tab 0.6mg","003525","COLCHICINE 0.6 MG TA","TABLET","N", 0000.2876, 0000.2770,"","",,"","P","Licensed Residential Care Facilities", 100, 99999999,20010201,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000396,"C",20220223,20221231,"B ,C ,F ,U ,W ","P","Y","Colchicine Tab 0.6mg","003525","COLCHICINE 0.6 MG TA","TABLET","N", 0000.2876, 0000.2770,"","",,"","P","Income Assistance", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000396,"C",20230101,20231231,"B ,C ,F ,U ,W ","P","Y","Colchicine Tab 0.6mg","003525","COLCHICINE 0.6 MG TA","TABLET","N", 0000.2876, 0000.2770,"","",,"","P","Income Assistance", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000396,"C",20240101,20240312,"B ,C ,F ,U ,W ","P","Y","Colchicine Tab 0.6mg","003525","COLCHICINE 0.6 MG TA","TABLET","N", 0000.2876, 0000.2770,"","",,"","P","Income Assistance", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000396,"C",20240313,20241231,"B ,C ,F ,U ,W ","P","Y","Colchicine Tab 0.6mg","003525","COLCHICINE 0.6 MG TA","TABLET","N", 0000.2876, 0000.2770,"","",,"","P","Income Assistance", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000396,"F",20220223,20221231,"B ,C ,F ,U ,W ","P","Y","Colchicine Tab 0.6mg","003525","COLCHICINE 0.6 MG TA","TABLET","N", 0000.2876, 0000.2770,"","",,"","P","At Home Program", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000396,"F",20230101,20231231,"B ,C ,F ,U ,W ","P","Y","Colchicine Tab 0.6mg","003525","COLCHICINE 0.6 MG TA","TABLET","N", 0000.2876, 0000.2770,"","",,"","P","At Home Program", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000396,"F",20240101,20240312,"B ,C ,F ,U ,W ","P","Y","Colchicine Tab 0.6mg","003525","COLCHICINE 0.6 MG TA","TABLET","N", 0000.2876, 0000.2770,"","",,"","P","At Home Program", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000396,"F",20240313,20241231,"B ,C ,F ,U ,W ","P","Y","Colchicine Tab 0.6mg","003525","COLCHICINE 0.6 MG TA","TABLET","N", 0000.2876, 0000.2770,"","",,"","P","At Home Program", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000396,"I",20220223,20221231,"B ,C ,F ,U ,W ","P","Y","Colchicine Tab 0.6mg","003525","COLCHICINE 0.6 MG TA","TABLET","N", 0000.2876, 0000.2770,"","",,"","P","Fair PharmaCare", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000396,"I",20230101,20231231,"B ,C ,F ,U ,W ","P","Y","Colchicine Tab 0.6mg","003525","COLCHICINE 0.6 MG TA","TABLET","N", 0000.2876, 0000.2770,"","",,"","P","Fair PharmaCare", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000396,"I",20240101,20240312,"B ,C ,F ,U ,W ","P","Y","Colchicine Tab 0.6mg","003525","COLCHICINE 0.6 MG TA","TABLET","N", 0000.2876, 0000.2770,"","",,"","P","Fair PharmaCare", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000396,"I",20240313,20241231,"B ,C ,F ,U ,W ","P","Y","Colchicine Tab 0.6mg","003525","COLCHICINE 0.6 MG TA","TABLET","N", 0000.2876, 0000.2770,"","",,"","P","Fair PharmaCare", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000396,"W",20220223,20221231,"B ,C ,F ,U ,W ","P","Y","Colchicine Tab 0.6mg","003525","COLCHICINE 0.6 MG TA","TABLET","N", 0000.2876, 0000.2770,"","",,"","P","First Nations Health Benefits", 100, 99999999,20171001,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000396,"W",20230101,20231231,"B ,C ,F ,U ,W ","P","Y","Colchicine Tab 0.6mg","003525","COLCHICINE 0.6 MG TA","TABLET","N", 0000.2876, 0000.2770,"","",,"","P","First Nations Health Benefits", 100, 99999999,20171001,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000396,"W",20240101,20240312,"B ,C ,F ,U ,W ","P","Y","Colchicine Tab 0.6mg","003525","COLCHICINE 0.6 MG TA","TABLET","N", 0000.2876, 0000.2770,"","",,"","P","First Nations Health Benefits", 100, 99999999,20171001,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000396,"W",20240313,20241231,"B ,C ,F ,U ,W ","P","Y","Colchicine Tab 0.6mg","003525","COLCHICINE 0.6 MG TA","TABLET","N", 0000.2876, 0000.2770,"","",,"","P","First Nations Health Benefits", 100, 99999999,20171001,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000434,"NB",20170401,40001230,"NB","P","Y","Erythrocin Filmtab 250mg","003525","ERYTHROMYCIN STEARATE 250 MG TA","TABLET","N", 0000.0000, 0000.0000,"","",,"","P","Non-Benefit", 000, 99999999,20150101,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000477,"NB",20000928,40001230,"","","N","Duretic Tab 2.5mg (D/C)","003525","Unknown Generic Drug  ","","N", 0000.0000, 0000.0000,"","",,"","","Non-Benefit", 000, 00000000,19940101,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000485,"NB",20190319,40001230,"","","N","Duretic 5mg","003525","METHYCLOTHIAZIDE 5 MG TA","TABLET","N", 0000.0000, 0000.0000,"","",,"","P","Non-Benefit", 000, 99999999,19940101,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000493,"NB",20001013,40001230,"","","N","Niacin 50mg Tablet 1609","003525","NIACIN 50 MG TA","TABLET","N", 0000.0000, 0000.0000,"","",,"","O","Non-Benefit", 000, 00000000,19940101,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000507,"NB",20011026,40001230,"","","N","Nicotinic Acid Tab 100mg (D/C)","003525","Unknown Generic Drug  ","","N", 0000.0000, 0000.0000,"","",,"","","Non-Benefit", 000, 00000000,19940101,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000566,"NB",20000928,40001230,"","","N","Sulfadiazine Tab 300mg (D/C)","003525","Unknown Generic Drug  ","","N", 0000.0000, 0000.0000,"","",,"","","Non-Benefit", 000, 00000000,19940101,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000582,"NB",20000928,40001230,"","","N","Trimedone Tab 150mg (D/C)","003525","Unknown Generic Drug  ","","N", 0000.0000, 0000.0000,"","",,"","","Non-Benefit", 000, 00000000,19940101,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000590,"NB",20040406,40001230,"","","N","Ferrsulfateect 300mg (D/C)","003525","Unknown Generic Drug  ","","N", 0000.0000, 0000.0000,"","",,"","","Non-Benefit", 000, 00000000,19940101,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000604,"B",20220223,20221231,"A ,B ,C ,F ,PC,U ,W ","","N","Ees-200 Chewable Tbs (Eryped)","003525","ERYTHROMYCIN ETHYLSUCCINATE 200 MG TC","TAB CHEW","N", 0000.6448, 0000.0000,"","",,"","P","Licensed Residential Care Facilities", 100, 99999999,20010201,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000604,"B",20230101,20231231,"A ,B ,C ,F ,PC,U ,W ","","N","Ees-200 Chewable Tbs (Eryped)","003525","ERYTHROMYCIN ETHYLSUCCINATE 200 MG TC","TAB CHEW","N", 0000.6448, 0000.0000,"","",,"","P","Licensed Residential Care Facilities", 100, 99999999,20010201,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000604,"B",20240101,20240312,"A ,B ,C ,F ,PC,U ,W ","","N","Ees-200 Chewable Tbs (Eryped)","003525","ERYTHROMYCIN ETHYLSUCCINATE 200 MG TC","TAB CHEW","N", 0000.6448, 0000.0000,"","",,"","P","Licensed Residential Care Facilities", 100, 99999999,20010201,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000604,"B",20240313,20241231,"A ,B ,C ,F ,PC,U ,W ","","N","Ees-200 Chewable Tbs (Eryped)","003525","ERYTHROMYCIN ETHYLSUCCINATE 200 MG TC","TAB CHEW","N", 0000.6448, 0000.0000,"","",,"","P","Licensed Residential Care Facilities", 100, 99999999,20010201,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000604,"C",20220223,20221231,"A ,B ,C ,F ,PC,U ,W ","","N","Ees-200 Chewable Tbs (Eryped)","003525","ERYTHROMYCIN ETHYLSUCCINATE 200 MG TC","TAB CHEW","N", 0000.6448, 0000.0000,"","",,"","P","Income Assistance", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000604,"C",20230101,20231231,"A ,B ,C ,F ,PC,U ,W ","","N","Ees-200 Chewable Tbs (Eryped)","003525","ERYTHROMYCIN ETHYLSUCCINATE 200 MG TC","TAB CHEW","N", 0000.6448, 0000.0000,"","",,"","P","Income Assistance", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000604,"C",20240101,20240312,"A ,B ,C ,F ,PC,U ,W ","","N","Ees-200 Chewable Tbs (Eryped)","003525","ERYTHROMYCIN ETHYLSUCCINATE 200 MG TC","TAB CHEW","N", 0000.6448, 0000.0000,"","",,"","P","Income Assistance", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000604,"C",20240313,20241231,"A ,B ,C ,F ,PC,U ,W ","","N","Ees-200 Chewable Tbs (Eryped)","003525","ERYTHROMYCIN ETHYLSUCCINATE 200 MG TC","TAB CHEW","N", 0000.6448, 0000.0000,"","",,"","P","Income Assistance", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000604,"F",20220223,20221231,"A ,B ,C ,F ,PC,U ,W ","","N","Ees-200 Chewable Tbs (Eryped)","003525","ERYTHROMYCIN ETHYLSUCCINATE 200 MG TC","TAB CHEW","N", 0000.6448, 0000.0000,"","",,"","P","At Home Program", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000604,"F",20230101,20231231,"A ,B ,C ,F ,PC,U ,W ","","N","Ees-200 Chewable Tbs (Eryped)","003525","ERYTHROMYCIN ETHYLSUCCINATE 200 MG TC","TAB CHEW","N", 0000.6448, 0000.0000,"","",,"","P","At Home Program", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000604,"F",20240101,20240312,"A ,B ,C ,F ,PC,U ,W ","","N","Ees-200 Chewable Tbs (Eryped)","003525","ERYTHROMYCIN ETHYLSUCCINATE 200 MG TC","TAB CHEW","N", 0000.6448, 0000.0000,"","",,"","P","At Home Program", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000604,"F",20240313,20241231,"A ,B ,C ,F ,PC,U ,W ","","N","Ees-200 Chewable Tbs (Eryped)","003525","ERYTHROMYCIN ETHYLSUCCINATE 200 MG TC","TAB CHEW","N", 0000.6448, 0000.0000,"","",,"","P","At Home Program", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000604,"I",20220223,20221231,"A ,B ,C ,F ,PC,U ,W ","","N","Ees-200 Chewable Tbs (Eryped)","003525","ERYTHROMYCIN ETHYLSUCCINATE 200 MG TC","TAB CHEW","N", 0000.6448, 0000.0000,"","",,"","P","Fair PharmaCare", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000604,"I",20230101,20231231,"A ,B ,C ,F ,PC,U ,W ","","N","Ees-200 Chewable Tbs (Eryped)","003525","ERYTHROMYCIN ETHYLSUCCINATE 200 MG TC","TAB CHEW","N", 0000.6448, 0000.0000,"","",,"","P","Fair PharmaCare", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000604,"I",20240101,20240312,"A ,B ,C ,F ,PC,U ,W ","","N","Ees-200 Chewable Tbs (Eryped)","003525","ERYTHROMYCIN ETHYLSUCCINATE 200 MG TC","TAB CHEW","N", 0000.6448, 0000.0000,"","",,"","P","Fair PharmaCare", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000604,"I",20240313,20241231,"A ,B ,C ,F ,PC,U ,W ","","N","Ees-200 Chewable Tbs (Eryped)","003525","ERYTHROMYCIN ETHYLSUCCINATE 200 MG TC","TAB CHEW","N", 0000.6448, 0000.0000,"","",,"","P","Fair PharmaCare", 100, 99999999,20180221,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000604,"P",20220223,20221231,"A ,B ,C ,F ,PC,U ,W ","","N","Ees-200 Chewable Tbs (Eryped)","003525","ERYTHROMYCIN ETHYLSUCCINATE 200 MG TC","TAB CHEW","N", 0000.6448, 0000.0000,"","",,"","P","Palliative Care", 035, 99999999,20171001,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000604,"P",20230101,20231231,"A ,B ,C ,F ,PC,U ,W ","","N","Ees-200 Chewable Tbs (Eryped)","003525","ERYTHROMYCIN ETHYLSUCCINATE 200 MG TC","TAB CHEW","N", 0000.6448, 0000.0000,"","",,"","P","Palliative Care", 035, 99999999,20171001,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
